amenity,name,lon,lat,coordinates
college,ZHAW School of Engineering‎,8.5325937,47.3777293,"(8.5325937 , 47.3777293)"
kindergarten,GFZ Kindertagesstätte 4,8.5204341,47.3762382,"(8.5204341 , 47.3762382)"
school,IST Höhere Fachschule für Tourismus,8.5318509,47.3821347,"(8.5318509 , 47.3821347)"
kindergarten,Kindergarten Grütli 1 - 3,8.5309615,47.3600275,"(8.5309615 , 47.3600275)"
kindergarten,Kindergarten Obsthalden,8.5175339,47.4140484,"(8.5175339 , 47.4140484)"
kindergarten,Kindergarten Zehntenhaus I + II,8.5082544,47.4228814,"(8.5082544 , 47.4228814)"
kindergarten,Kindergarten Reckenholz I + II,8.5145189,47.4226621,"(8.5145189 , 47.4226621)"
kindergarten,Kindergarten Isengrind I + II,8.511882,47.4224471,"(8.511882 , 47.4224471)"
kindergarten,Kindergarten Riedenhalden I + II,8.5107778,47.4193957,"(8.5107778 , 47.4193957)"
kindergarten,Kindergarten Ruggächer I,8.5014175,47.4251176,"(8.5014175 , 47.4251176)"
kindergarten,Kindergarten Hungerberg,8.4998341,47.4192169,"(8.4998341 , 47.4192169)"
kindergarten,Kindergarten Holzerhurd,8.4956642,47.4238486,"(8.4956642 , 47.4238486)"
kindergarten,Kindergarten Furttal,8.4984834,47.4202464,"(8.4984834 , 47.4202464)"
kindergarten,Kindergarten Regina-Kägi-Hof II,8.5323641,47.4122668,"(8.5323641 , 47.4122668)"
kindergarten,Kindergarten Regina-Kägi-Hof I,8.5323859,47.4124167,"(8.5323859 , 47.4124167)"
kindergarten,Kindergarten Künzli,8.532206,47.407491,"(8.532206 , 47.407491)"
kindergarten,Kindergarten Holunderhof I + II,8.5283061,47.4108753,"(8.5283061 , 47.4108753)"
kindergarten,Kindergarten Kügeliloo,8.529445,47.4105347,"(8.529445 , 47.4105347)"
kindergarten,Kindergarten Holzmatt,8.5254143,47.4135723,"(8.5254143 , 47.4135723)"
kindergarten,Kindergarten Neunbrunnen Beta,8.5330325,47.4165345,"(8.5330325 , 47.4165345)"
kindergarten,Kindergarten Neunbrunnen Alpha,8.5319136,47.4163882,"(8.5319136 , 47.4163882)"
kindergarten,Kindergarten Arnikahof,8.5322805,47.4157558,"(8.5322805 , 47.4157558)"
kindergarten,Kindergarten Althoos I + II,8.5217559,47.4106982,"(8.5217559 , 47.4106982)"
kindergarten,Kindergarten Salvator I + II,8.5530978,47.4070893,"(8.5530978 , 47.4070893)"
kindergarten,Kindergarten Friedheim,8.5529231,47.4039082,"(8.5529231 , 47.4039082)"
kindergarten,Kindergarten Oerlikoner,8.5471512,47.4058461,"(8.5471512 , 47.4058461)"
kindergarten,Kindergarten Caspar Wüst I + II,8.5419368,47.4314623,"(8.5419368 , 47.4314623)"
kindergarten,Kindergarten Schönauring I + II,8.5386013,47.427438,"(8.5386013 , 47.427438)"
kindergarten,Kindergarten Eichrain,8.5468028,47.4300394,"(8.5468028 , 47.4300394)"
kindergarten,Kindergarten Kolbenacker I,8.5511144,47.4255049,"(8.5511144 , 47.4255049)"
kindergarten,Kindergarten Stiglen,8.5498731,47.4278284,"(8.5498731 , 47.4278284)"
kindergarten,Kindergarten Ettenfeld,8.553702,47.4250398,"(8.553702 , 47.4250398)"
kindergarten,Kindergarten Im Talbächli I + II,8.4696248,47.3881819,"(8.4696248 , 47.3881819)"
kindergarten,Kindergarten Am Suteracher,8.471045,47.3902574,"(8.471045 , 47.3902574)"
kindergarten,Kindergarten Winterthurerstrasse,8.5796743,47.4057363,"(8.5796743 , 47.4057363)"
kindergarten,Kindergarten Hirzenbach,8.5869225,47.4051075,"(8.5869225 , 47.4051075)"
kindergarten,Kindergarten Probstei I,8.5784621,47.4004401,"(8.5784621 , 47.4004401)"
kindergarten,Kindergarten Ahorn,8.5670399,47.4044285,"(8.5670399 , 47.4044285)"
kindergarten,Mittag-/Abendhort Luegisland 1-2,8.5745615,47.4087646,"(8.5745615 , 47.4087646)"
kindergarten,Kindergarten Luegislandstrasse,8.5689137,47.4087601,"(8.5689137 , 47.4087601)"
kindergarten,Kindergarten Auhof I + II,8.572155,47.4068372,"(8.572155 , 47.4068372)"
kindergarten,Kindergarten Schörlistrasse,8.5625971,47.4075598,"(8.5625971 , 47.4075598)"
kindergarten,Kindergarten Leutschenbach II,8.5605405,47.4137129,"(8.5605405 , 47.4137129)"
kindergarten,Kindergarten Auwiesenstrasse,8.5688297,47.4135882,"(8.5688297 , 47.4135882)"
kindergarten,Hardbrüggli,8.5152465,47.3874692,"(8.5152465 , 47.3874692)"
kindergarten,Kindergarten Hüslibach,8.5160176,47.3286845,"(8.5160176 , 47.3286845)"
kindergarten,Kindergarten Farenweg 1 + 2,8.5267739,47.3401145,"(8.5267739 , 47.3401145)"
kindergarten,Kindergarten und Hort Neubühl,8.5327401,47.333367,"(8.5327401 , 47.333367)"
university,"Universität Zürich, Oerlikon (BIN)",8.549618,47.4143683,"(8.549618 , 47.4143683)"
university,"Universität Zürich, Oerlikon (AND)",8.5487502,47.4131889,"(8.5487502 , 47.4131889)"
kindergarten,Mittaghort Pflegi,8.5623229,47.3684916,"(8.5623229 , 47.3684916)"
kindergarten,Kindergarten Freiestrasse,8.5586992,47.3665272,"(8.5586992 , 47.3665272)"
school,Kunst- und Sportschule Zürich,8.5401242,47.4156134,"(8.5401242 , 47.4156134)"
kindergarten,Mittag-/Abendhort Hammer,8.5641416,47.3599357,"(8.5641416 , 47.3599357)"
kindergarten,Kindergarten Hofacker Turnhaus,8.5648311,47.3627851,"(8.5648311 , 47.3627851)"
kindergarten,Kindergarten Hirslanden 1 + 2,8.5695357,47.3596686,"(8.5695357 , 47.3596686)"
school,Kunst- und Sportschule Zürich,8.559019,47.3556831,"(8.559019 , 47.3556831)"
kindergarten,"MittagstischGZ Riesbach, Mittag-/Abendhort Seefeld",8.5541163,47.359106,"(8.5541163 , 47.359106)"
kindergarten,Hort Lengg,8.573943,47.3541339,"(8.573943 , 47.3541339)"
kindergarten,Kindergarten Im Walder,8.5736445,47.3493569,"(8.5736445 , 47.3493569)"
kindergarten,Mittag-/Abendhort Vorderberg,8.5593676,47.3760901,"(8.5593676 , 47.3760901)"
kindergarten,Mittag-/Abendhort Fluntern 4,8.556625,47.3768942,"(8.556625 , 47.3768942)"
kindergarten,Kindergarten Krähbühl,8.5649056,47.3781047,"(8.5649056 , 47.3781047)"
kindergarten,Mittaghort Hillside,8.5588043,47.3682114,"(8.5588043 , 47.3682114)"
kindergarten,Kindergarten Neumarkt,8.546017,47.3725621,"(8.546017 , 47.3725621)"
kindergarten,Kindergarten Hirschengraben,8.5477878,47.3732791,"(8.5477878 , 47.3732791)"
kindergarten,"Morgentisch, Mittag-/Abendhort Witikon",8.591152,47.3590029,"(8.591152 , 47.3590029)"
kindergarten,Mittaghort Heilighüsli,8.5858745,47.3580544,"(8.5858745 , 47.3580544)"
kindergarten,Kindergarten Witikonerstrasse,8.5812154,47.359273,"(8.5812154 , 47.359273)"
kindergarten,Kindergarten Lehfrauenweg 1,8.5895992,47.3603243,"(8.5895992 , 47.3603243)"
kindergarten,Kindergarten Buchholz 1 + 2,8.5842231,47.360869,"(8.5842231 , 47.360869)"
kindergarten,Kinderhaus Bozza Lukashof,8.5261256,47.3787559,"(8.5261256 , 47.3787559)"
kindergarten,Kindergarten Im Herrlig 1 +2,8.4823846,47.3902555,"(8.4823846 , 47.3902555)"
college,Kantonale Berufsschule für Weiterbildung EB Zürich,8.5546105,47.3600321,"(8.5546105 , 47.3600321)"
school,Kantonale Maturitätsschule für Erwachsene,8.5542949,47.3603452,"(8.5542949 , 47.3603452)"
school,Freie Katholische Schule Wiedikon,8.5142694,47.3723075,"(8.5142694 , 47.3723075)"
school,Sprungbrett Montessori-Schule,8.5578231,47.3651941,"(8.5578231 , 47.3651941)"
kindergarten,Kindergarten St. Anton,8.5575789,47.3652855,"(8.5575789 , 47.3652855)"
school,Casa d'Italia,8.5189563,47.3800679,"(8.5189563 , 47.3800679)"
school,Jüdische Schule NOAM,8.5309988,47.3603173,"(8.5309988 , 47.3603173)"
school,Schule für Sehbehinderte,8.4860781,47.3849324,"(8.4860781 , 47.3849324)"
school,Heilpädagogische Schule Gotthelf,8.5203017,47.3684404,"(8.5203017 , 47.3684404)"
school,Talmud Toire Chajei Oilom,8.5275785,47.3662506,"(8.5275785 , 47.3662506)"
kindergarten,Kindergarten Goldacker I + II,8.4919806,47.3681993,"(8.4919806 , 47.3681993)"
kindergarten,Kindergarten Nordbrücke,8.5303507,47.3942118,"(8.5303507 , 47.3942118)"
kindergarten,Kindergarten Landenbergstrasse,8.5281502,47.3922729,"(8.5281502 , 47.3922729)"
kindergarten,Kindergarten Freilager III + IV,8.4892512,47.3779453,"(8.4892512 , 47.3779453)"
kindergarten,Kindergarten Waffenplatzstrasse,8.526823,47.3574313,"(8.526823 , 47.3574313)"
kindergarten,Kindergarten Erismannhof I + II,8.519763,47.3798073,"(8.519763 , 47.3798073)"
kindergarten,Kindergarten Gutstrasse I + II,8.5049458,47.3730131,"(8.5049458 , 47.3730131)"
kindergarten,Kindergarten Manegg I – III,8.5261731,47.3476015,"(8.5261731 , 47.3476015)"
kindergarten,Kindergarten Schwendenweg 1 + 2,8.5176233,47.3689244,"(8.5176233 , 47.3689244)"
kindergarten,Kindergarten Letzigraben I + II,8.5029733,47.3797215,"(8.5029733 , 47.3797215)"
kindergarten,Kindergarten Brahms 47,8.5058656,47.3784922,"(8.5058656 , 47.3784922)"
college,Zürcher Hochschule der Künste ZHdK,8.5116801,47.3909258,"(8.5116801 , 47.3909258)"
college,ZHAW Soziale Arbeit,8.5119137,47.3907659,"(8.5119137 , 47.3907659)"
college,ZHAW Angewandte Psychologie,8.5121474,47.3906059,"(8.5121474 , 47.3906059)"
college,Hochschule für Wirtschaft Zürich,8.5338134,47.3768539,"(8.5338134 , 47.3768539)"
college,Berufsmaturitätsschule Zürich,8.4872688,47.3941881,"(8.4872688 , 47.3941881)"
college,Berufsschule für Detailhandel Zürich,8.487268,47.3942748,"(8.487268 , 47.3942748)"
college,Baugewerbliche Berufsschule Zürich,8.5314521,47.3696574,"(8.5314521 , 47.3696574)"
college,Baugewerbliche Berufsschule Zürich,8.5311245,47.3784516,"(8.5311245 , 47.3784516)"
college,Baugewerbliche Berufsschule Zürich,8.533551,47.3825431,"(8.533551 , 47.3825431)"
college,Berufsschule Mode und Gestaltung,8.535109,47.3817042,"(8.535109 , 47.3817042)"
college,F+F Schule für Kunst und Design,8.4926703,47.3819156,"(8.4926703 , 47.3819156)"
kindergarten,Mittag-/Abendhort Holderbach 4,8.5036724,47.4177791,"(8.5036724 , 47.4177791)"
kindergarten,Kindergarten Vogtsrain I + II,8.4990916,47.4040453,"(8.4990916 , 47.4040453)"
school,Oberstufenschule Lengg,8.569115,47.349403,"(8.569115 , 47.349403)"
school,Schule für Gesundheitsberufe,8.543807,47.41535,"(8.543807 , 47.41535)"
school,AKAD Business Zürich,8.543807,47.4154229,"(8.543807 , 47.4154229)"
school,"Fachschule Viventa, Schulhaus Jungholz",8.543807,47.4154943,"(8.543807 , 47.4154943)"
school,Kalaidos Bildungsgruppe,8.543807,47.4155643,"(8.543807 , 47.4155643)"
kindergarten,Krippe Krümel,8.5480622,47.405867,"(8.5480622 , 47.405867)"
kindergarten,Kindergarten Ackersteinstrasse,8.5079465,47.3965007,"(8.5079465 , 47.3965007)"
school,"Morgentisch, Mittag-/Abendhort Auhof",8.569802,47.4074187,"(8.569802 , 47.4074187)"
school,Mittaghort Ahorn/Friedrich 2 A,8.5686088,47.4049578,"(8.5686088 , 47.4049578)"
