name,lon,lat,city,postcode,street
Denner,8.508715,47.370239,Zürich,8055,Birmensdorferstrasse
Coop Bärengasse,8.5371556,47.3702516,Zürich,8001,Bärengasse
VOI Witikon,8.593904,47.3599127,Zürich,8053,Loorenstrasse
Migros Höngg,8.4973179,47.4037862,Zürich,8049,Regensdorferstrasse
Coop Wiedikon,8.5158561,47.3707927,Zürich,8003,Birmensdorferstrasse
Coop Gutstrasse,8.5023375,47.3737493,Zürich,8047,Gutstrasse
Coop Lindenplatz,8.4854662,47.3875596,Zürich,8048,Lindenplatz
Coop Altstetten,8.4889206,47.3874101,Zürich,8048,Badenerstrasse
Coop Europaallee,8.5347195,47.3777313,Zürich,8004,Europaallee
Migros Altstetten Neumarkt,8.4875671,47.3882833,Zürich,8048,Altstetterstrasse
Coop Precisa,8.5626146,47.4111941,Zürich,8050,Wallisellenstrasse
Coop Westlink,8.4898151,47.3921264,Zürich,8048,Vulkanplatz
Denner,8.4848889,47.3919775,Zürich,8048,Hohlstrasse
Coop Leimbach,8.514451,47.3261834,Zürich,8041,Leimbachstrasse
Aldi Suisse,8.5918795,47.405948,Zürich,8051,Ueberlandstrasse
Coop Letzipark,8.4996784,47.3862616,Zürich,8048,Baslerstrasse
VOI Leimbach,8.5152768,47.329774,Zürich,8041,Ankenweid
Denner,8.5180317,47.3581515,Zürich,8045,Giesshübelstrasse
Coop Schwellistrasse,8.5377913,47.4249628,Zürich,8052,Schwellistrasse
Migros Herdern,8.5086792,47.3901062,Zürich,8005,Pfingstweidstrasse
Alnatura Höngg,8.4979498,47.4033485,Zürich,8049,Kappenbühlweg
Otto's Zürich,8.4888447,47.3874996,Zürich,8048,Badenerstrasse
Coop Hardturm Park,8.5081865,47.3911135,Zürich,8005,Pfingstweidstrasse
Migros Leimbach Sihlbogen,8.5189993,47.3360299,Zürich,8041,Leimbachstrasse
Denner,8.5307895,47.383295,Zürich,8005,Josefstrasse
Alnatura City,8.5361724,47.3750207,Zürich,8001,Löwenstrasse
Aldi Suisse,8.5437179,47.4089385,Zürich,8050,Baumackerstrasse
Denner,8.5485107,47.4073192,Zürich,8050,Schwamendingenstrasse
Spar,8.4896864,47.3800378,Zürich,8047,Freilagerstrasse
Alnatura Oerlikon,8.5435046,47.4090111,Zürich,8050,Baumackerstrasse
Coop Wollishofen Seestrasse,8.5330286,47.3472077,Zürich,8038,Seestrasse
Coop Rigiplatz,8.5480214,47.383878,Zürich,8006,Universitätstrasse
Aldi Suisse,8.5332361,47.3808588,Zürich,8005,Zollstrasse
Migros Hauptbahnhof,8.5404169,47.3782902,Zürich,8001, 
Coop Hauptbahnhof,8.538369,47.3778252,Zürich,8001, 
Migros ShopVilleMärt,8.5394102,47.3770315,Zürich,8001, 
Coop,8.5348702,47.3806957,Zürich,8005,Zollstrasse
Migros Pünt Albisrieden,8.485718,47.3752033,Zürich,8047,Albisriederstrasse
M-Outlet Herdern,8.5087002,47.3900789,Zürich,8005,Pfingstweidstrasse
Migros Rigiplatz,8.5486931,47.3859928,Zürich,8006,Winterthurerstrasse
VOI Grünau,8.4865224,47.396145,Zürich,8064,Grünauring
Denner,8.5434973,47.4105537,Zürich,8050, 
Denner,8.4870669,47.3887075,Zürich,8048,Altstetterstrasse
Denner,8.4995797,47.3859997,Zürich,8048,Baslerstrasse
Coop City St. Annahof Food,8.537713,47.3729278,Zürich,8001,Bahnhofstrasse
Spar,8.5633792,47.3604083,Zürich,8032,Forchstrasse
Aldi Suisse,8.4978671,47.3838311,Zürich,8048,Badenerstrasse
Coop Brotgasse,8.549921,47.363156,Zürich,8008,Seefeldstrasse
Coop Sihlcity,8.5228769,47.3574475,Zürich,8045,Kalanderplatz
Coop Suteracher,8.471856,47.3898336,Zürich,8048,Am Suteracher
Coop City Oerlikon Food,8.5467405,47.4104766,Zürich,8050,Wallisellenstrasse
Coop Tiefenbrunnen,8.558975,47.3533217,Zürich,8008,Seefeldstrasse
Coop Bombach,8.4813811,47.4058783,Zürich,8049,Frankentalerstrasse
Top Market Oerlikon,8.5439369,47.4088582, , , 
Coop Bleicherweg,8.5358482,47.3677811, , , 
Coop,8.5470117,47.4128725,Zürich,8050,Andreasstrasse
Coop,8.4839444,47.393543, , , 
Coop,8.5077158,47.4077887, , , 
Migros,8.535904,47.3782589,Zürich,8001, 
Alnatura,8.5358393,47.3782757,Zürich,8001, 
VOI,8.5183575,47.3953281,Zürich,8037,Hönggerstrasse
