abkuerzung,bezeichnung,bis,fk_zaehler,richtung_in,richtung_out,von,easting,northing,easting_wgs,northing_wgs
FZS_OHMO,Ohmstrasse Ost,2019-09-09T02:08:26,U15G3104447,Bhf. Oerlikon,Sternen Oerlikon,2016-04-01T00:00:00,2683572.922,1251686.846,8.545964659,47.41069173
FZS_KATZ,Katzenbach,2016-09-30T00:00:00,U15G3104442,Affoltern,Seebach,2016-04-01T00:00:00,2681401.937,1253279.861,8.517492983,47.42529012
FZS_CASS,Cassiopeiasteg,2016-09-30T00:00:00,U15G3104443,Stadtgrenze,Bellevue,2016-04-05T00:00:00,2683020.159,1244136.249,8.537240965,47.34285637
VZS_TOED,Tödistrasse,2019-09-09T02:08:26,Y2G13124877,Seeufer,Hauptbahnhof,2017-05-22T00:00:00,2682880.89,1246548.835,8.535844611,47.36457133
FZS_LETD,Letten / Dynamo,2018-04-09T11:00:00,U15G3063869,Limmatplatz,Hauptbahnhof,2017-10-05T00:00:00,2682977.903,1248743.84,8.537535657,47.38429962
FZS_HARD,Hardeggsteg,2018-04-09T11:00:00,U15G4025180,Kloster-Fahr-Weg,Hardturmstrasse,2017-10-05T00:00:00,2680438.925,1249929.857,8.504128372,47.39528081
FZS_ZEHN,Zehntenhausplatz Unterführung,2019-09-09T02:08:26,U15G3104442,Louis Conne Weg,In Böden,2017-10-05T00:00:00,2680576.937,1252580.867,8.506434068,47.41910536
FZS_MYTH,Mythenquai Unterführung,2019-09-09T02:08:26,U15G3104443,Seeufer,Bhf. Wollishofen,2017-10-05T00:00:00,2682812.885,1245489.836,8.534748627,47.35505585
VZS_LANS,Langstrasse (Unterführung Süd),2017-09-08T00:00:00,Y2H16039396,Helvetiaplatz,Limmatplatz,2016-04-27T00:00:00,2682359.889,1248448.233,8.529297694,47.38171866
FZS_KLOE,Kloster-Fahr-Weg (Europabrücke),2019-09-09T02:08:26,U15G6121229,Werdinsel,Innenstadt,2017-01-13T00:00:00,2680048.93,1250303.859,8.499030022,47.39869186
FZS_CASS,Cassiopeiasteg,2019-09-09T02:08:26,U15G3104446,Stadtgrenze,Bellevue,2017-10-17T00:00:00,2683020.159,1244136.249,8.537240965,47.34285637
VZS_BINZ,Binzmühlestrasse,2019-03-14T12:00:00,ECO09113500,Oerlikon,Glaubtenstrasse,2018-10-10T00:00:00,2681856.93,1251990.855,8.523286389,47.41364133
VZS_LIMB,Limmatquai --> Bellevue,2019-09-09T02:08:26,Y2H19070585,Bellevue,,2019-08-09T00:00:00,2683447.351,1247062.591,8.543438467,47.36912026
FZS_ARBO,Arboretum,2019-09-09T02:08:26,U15G3063865,Stadtgrenze,Innenstadt,2016-07-21T11:00:00,2682972.89,1246328.835,8.53702163,47.3625812
VZS_LANS,Langstrasse (Unterführung Süd),2019-09-09T02:08:26,Y2H16039396,Limmatplatz,Helvetiaplatz,2018-06-26T13:00:00,2682295.903,1248311.13,8.528425241,47.38049365
VZS_BINZ,Binzmühlestrasse,2019-09-09T02:08:26,ECO09113500,Oerlikon,Glaubtenstrasse,2019-06-18T12:00:00,2681857.68,1251990.563,8.523296267,47.41363861
VZS_LANN,Langstrasse (Unterführung Nord),2017-09-08T00:00:00,Y2G13013264,Helvetiaplatz,Limmatplatz,2017-07-25T00:00:00,2682277.902,1248324.842,8.52818941,47.38061921
FZS_KATZ,Katzenbach,2019-09-09T02:08:26,YPH15108550,Affoltern,Seebach,2017-11-29T00:00:00,2681401.937,1253279.861,8.517492983,47.42529012
FZS_QUAN,Quaibrücke Nord (Limmatseite),2017-03-13T00:00:00,YCH16121210,Bellevue,Bürkliplatz,2017-01-13T00:00:00,2683403.248,1246821.134,8.542809657,47.36695432
FZS_LANN,Langstrasse (Unterführung Nord),2019-09-09T02:08:26,U15G3063870,Limmatplatz,Helvetiaplatz,2018-04-12T14:00:00,2682322.103,1248435.072,8.528794938,47.38160502
FZS_HARD,Hardeggsteg,2019-04-01T09:00:00,U15G3063873,Kloster-Fahr-Weg,Hardturmstrasse,2019-01-15T12:00:00,2680438.925,1249929.857,8.504128372,47.39528081
VZS_HARN,Hardbrücke Nord (Seite Altstetten),2019-09-09T02:08:26,Y2H16069942,Escher-Wyss-Platz,Hardplatz,2016-07-06T15:00:00,2681319.388,1248665.209,8.515559757,47.38379926
VZS_HARS,Hardbrücke Süd (Seite HB),2019-09-09T02:08:26,Y2H16069943,Escher-Wyss-Platz,Hardplatz,2016-07-06T15:00:00,2681338.967,1248646.688,8.515815651,47.38363028
FZS_LETL,Lettenviadukt (Limmatstr.),2017-10-04T00:00:00,U15G3063869,Limmat,Gleisanlagen,2017-04-10T00:00:00,2682170.909,1249123.847,8.526919469,47.38781831
FZS_CASS,Cassiopeiasteg,2017-10-04T00:00:00,U15G3104443,Stadtgrenze,Bellevue,2017-04-11T00:00:00,2683020.159,1244136.249,8.537240965,47.34285637
FZS_CHOR,Chorherrenweg,2017-10-04T00:00:00,U15G4025180,Limmat,Meierhofplatz,2017-04-11T00:00:00,2680001.933,1250595.859,8.498459768,47.40132364
VZS_LANS,Langstrasse (Unterführung Süd),2018-03-26T09:00:00,Y2H16039396,Helvetiaplatz,Limmatplatz,2017-10-03T00:00:00,2682359.889,1248448.233,8.529297694,47.38171866
FZS_HARD,Hardeggsteg,2019-01-15T12:00:00,U15G4025180,Kloster-Fahr-Weg,Hardturmstrasse,2018-10-01T15:00:00,2680438.925,1249929.857,8.504128372,47.39528081
FZS_LIMM,Limmatquai,2019-09-09T02:08:26,YSH18065716,Rathaus,Seeufer,2018-10-01T00:00:00,2683436.897,1247198.835,8.543325475,47.37034687
FZS_LETD,Letten / Dynamo,2019-04-01T09:00:00,U15G3063869,Limmatplatz,Hauptbahnhof,2018-10-01T00:00:00,2682977.903,1248743.84,8.537535657,47.38429962
