,name,lon,lat,city,postcode,street,coordinates,isin_kreis_1,isin_kreis_2,isin_kreis_3,isin_kreis_4,isin_kreis_5,isin_kreis_6,isin_kreis_7,isin_kreis_8,isin_kreis_9,isin_kreis_10,isin_kreis_11,isin_kreis_12,parent
456,Denner,8.508089100000001,47.419908500000005,Zürich,8046,In Böden,"(8.5080891 , 47.4199085)",False,False,False,False,False,False,False,False,False,False,True,False,Migros
464,Migros Oerlikon Neumarkt,8.543095300000001,47.4105711,Zürich,8050,Hofwiesenstrasse,"(8.5430953 , 47.4105711)",False,False,False,False,False,False,False,False,False,False,True,False,Migros
477,Coop Josefstrasse,8.527125,47.3847889,Zürich,8005,Röntgenstrasse,"(8.527125 , 47.3847889)",False,False,False,False,True,False,False,False,False,False,False,False,Coop
492,Coop Friesenberg,8.5067302,47.3610014,Zürich,8045,Friesenbergplatz,"(8.5067302 , 47.3610014)",False,False,True,False,False,False,False,False,False,False,False,False,Coop
502,Migros Wipkingen,8.5292465,47.393708399999994,Zürich,8037,Scheffelstrasse,"(8.5292465 , 47.3937084)",False,False,False,False,False,False,False,False,False,True,False,False,Migros
503,Denner,8.532628599999999,47.398866600000005,Zürich,8057,Hofwiesenstrasse,"(8.5326286 , 47.3988666)",False,False,False,False,False,True,False,False,False,False,False,False,Migros
504,Denner,8.4839506,47.3759665,Zürich,8047,Bockhornstrasse,"(8.4839506 , 47.3759665)",False,False,False,False,False,False,False,False,True,False,False,False,Migros
505,Aldi Suisse,8.5391013,47.4137506,Zürich,8050,Binzmühlestrasse,"(8.5391013 , 47.4137506)",False,False,False,False,False,False,False,False,False,False,True,False,Aldi
556,Lidl,8.5149344,47.361771600000004,Zürich,8045,Grubenstrasse,"(8.5149344 , 47.3617716)",False,False,True,False,False,False,False,False,False,False,False,False,Lidl
619,Coop Hirzenbach,8.5893605,47.403421200000004,Zürich,8051,Hirzenbachstrasse,"(8.5893605 , 47.4034212)",False,False,False,False,False,False,False,False,False,False,False,True,Coop
627,Coop Triemli,8.492019099999998,47.370275299999996,Zürich,8047,In der Ey,"(8.4920191 , 47.3702753)",False,False,False,False,False,False,False,False,True,False,False,False,Coop
631,VOI In der Ey,8.4928227,47.3704581,Zürich,8047,Letzigraben,"(8.4928227 , 47.3704581)",False,False,False,False,False,False,False,False,True,False,False,False,Migros
652,Migros Schwamendingen,8.573042300000001,47.4037955,Zürich,8051,Winterthurerstrasse,"(8.5730423 , 47.4037955)",False,False,False,False,False,False,False,False,False,False,False,True,Migros
653,Denner,8.5727162,47.403979,Zürich,8051,Winterthurerstrasse,"(8.5727162 , 47.403979)",False,False,False,False,False,False,False,False,False,False,False,True,Migros
663,Coop Stauffacher,8.5305624,47.373288200000005,Zürich,8004,Badenerstrasse,"(8.5305624 , 47.3732882)",False,False,False,True,False,False,False,False,False,False,False,False,Coop
673,Coop Albisrieden,8.4870696,47.3758999,Zürich,8047,Albisriederstrasse,"(8.4870696 , 47.3758999)",False,False,False,False,False,False,False,False,True,False,False,False,Coop
718,Denner,8.5744967,47.404605,Zürich,8051,Winterthurerstrasse,"(8.5744967 , 47.404605)",False,False,False,False,False,False,False,False,False,False,False,True,Migros
768,VOI Paradies,8.529589,47.33472879999999,Zürich,8038,Paradiesstrasse,"(8.529589 , 47.3347288)",False,True,False,False,False,False,False,False,False,False,False,False,Migros
775,Coop Eleven,8.540361500000001,47.4134145,Zürich,8050,Sophie-Taeuber-Strasse,"(8.5403615 , 47.4134145)",False,False,False,False,False,False,False,False,False,False,True,False,Coop
